,race,sexo,edad,zona_u_r,iden_pol_2,iden_pol_3,interes_pol_1_b,elec_pres_144_a,nom_region,religion_82,esc_nivel_1,gse,pred
311,1,2,30,4,4,3,2,0,55,11,5,18,0
312,2,2,28,4,4,4,2,0,28,12,2,2,0
313,1,2,24,2,1,1,1,0,25,10,2,-9,0
314,1,1,44,3,4,4,3,0,48,9,7,17,0
315,1,2,40,1,4,6,1,0,40,11,3,10,1
316,1,2,63,3,2,1,2,0,8,2,6,19,0
317,1,1,72,4,4,6,1,0,54,1,6,20,0
318,3,1,53,3,99,4,1,0,36,12,3,22,0
319,1,2,72,2,99,7,2,1,29,1,2,-9,1
320,1,2,49,2,7,7,4,0,39,1,6,8,1
321,1,1,45,3,5,5,3,1,27,2,6,16,1
322,2,2,62,2,99,1,3,0,48,12,3,8,0
323,1,2,59,3,4,5,2,0,44,2,6,18,1
324,1,2,44,2,6,7,2,1,1,1,4,4,1
325,2,2,37,4,4,4,3,1,37,12,3,5,0
326,1,2,75,4,1,1,1,0,17,10,6,8,0
327,1,1,31,1,6,7,1,1,36,11,3,21,1
328,1,1,40,4,5,3,2,0,55,2,6,19,0
329,1,2,73,1,6,7,2,1,40,1,6,6,1
330,1,2,71,2,6,7,1,1,39,12,6,21,1
331,1,1,80,1,99,5,2,1,37,1,1,2,1
332,1,1,79,3,99,7,2,1,39,1,1,4,1
333,1,2,73,1,7,7,1,1,49,4,7,15,1
334,1,1,28,2,99,4,3,1,39,11,3,15,1
335,1,1,32,3,6,7,2,1,39,1,6,21,1
336,1,1,18,3,4,7,3,1,17,2,3,22,1
337,1,2,38,4,2,3,3,0,26,12,8,18,0
338,1,2,30,2,2,2,2,0,46,11,6,14,0
339,1,1,54,3,2,1,1,0,42,9,6,22,0
340,1,2,28,3,2,3,2,0,8,10,6,18,0
341,1,1,40,3,99,5,3,1,25,12,3,15,1
342,1,1,79,3,1,1,1,0,25,1,8,15,0
343,1,1,74,4,2,1,1,0,6,11,8,17,0
344,1,1,49,2,2,3,2,0,18,12,6,10,0
345,1,1,70,1,6,7,2,1,4,12,4,10,1
346,1,2,59,4,99,2,4,1,55,2,6,8,0
347,4,1,35,4,2,1,1,0,29,10,7,22,0
348,1,1,35,1,4,5,4,1,29,12,4,4,1
349,1,1,32,4,4,6,2,1,6,1,3,6,1
350,1,1,43,3,5,5,3,1,39,12,3,20,1
351,1,2,48,1,2,1,2,0,39,12,6,16,0
352,4,1,27,4,1,2,1,0,36,9,6,20,0
353,1,2,30,3,3,3,1,0,13,3,7,21,0
354,1,1,39,3,5,5,2,0,17,10,6,17,1
355,1,2,42,1,7,7,2,1,39,1,3,8,1
356,1,1,73,4,6,6,1,1,37,1,6,6,1
357,1,1,68,3,3,1,1,0,36,5,3,20,0
358,1,2,19,4,1,1,2,0,37,9,3,1,0
359,-9,2,77,2,2,1,2,0,34,2,7,-9,0
360,1,1,80,4,4,5,2,0,16,12,7,10,0
361,2,2,23,2,99,2,3,0,5,11,2,1,0
362,1,1,57,1,6,7,3,1,16,11,1,10,1
363,3,2,33,3,3,3,2,0,8,12,3,12,0
364,1,1,77,3,2,1,2,0,36,5,7,11,0
365,1,1,59,2,6,7,2,1,6,11,3,10,1
366,1,1,65,3,1,1,2,0,51,11,6,2,0
367,1,1,44,3,6,7,2,1,1,1,4,12,1
368,1,1,79,2,2,1,2,0,26,10,4,2,0
369,2,2,21,3,3,1,3,0,37,12,95,14,0
370,1,2,47,2,6,6,4,1,21,1,3,7,1
371,2,1,38,4,7,1,1,0,13,11,2,1,0
372,2,2,80,1,4,1,2,0,28,11,2,6,0
373,2,1,77,4,99,1,3,0,18,1,3,18,0
374,1,2,69,2,2,1,1,0,25,11,7,4,0
375,1,2,76,2,6,7,2,1,29,1,3,7,1
376,1,2,71,2,6,7,2,1,39,1,7,14,1
377,3,1,24,4,4,4,2,2,53,12,6,10,0
378,2,2,29,3,4,4,4,0,20,11,5,17,0
379,4,1,36,4,3,4,2,0,36,6,6,20,0
380,3,2,23,4,99,1,4,0,4,9,3,18,0
381,1,2,53,3,6,6,3,1,37,1,6,18,1
382,3,2,61,3,4,1,2,0,4,11,2,18,0
383,1,2,41,3,5,6,2,1,47,9,4,20,1
384,1,1,75,1,99,2,4,0,8,1,1,1,0
385,1,2,37,3,4,4,4,0,36,12,8,17,0
386,1,1,24,3,6,7,1,1,47,10,5,-9,1
